ACCT_ID_18,ACCOUNT_ID,ACCOUNT_NAME,IS_PROVISIONED,INTERNALDATAPIPELINE,STREAMINGCI,STREAMINGACTIONS,Activate DMO - Streaming,BATCHCI,BATCHPROFILEUNIFICATION,SUBSECONDREALTIMEEVENTS,INFERENCEENGINE,BATCHINGEST,ACCELERATEDQUERIES,DATAQUERIES,STREAMTRANSFORM,DATASHARESCHANGED,REALTIMEPROFILEAPI,BATCHTRANSFORM,SEGMENTS,DATASHARESACCESSED,STREAMINGEST,BATCHACTIVATIONPROCESSED,PRIVATECONNECTDATAPROCESSED,UNSTRUCTUREDDATAPROCESSED
0010000000000ANAAY,0010000000000AN,"W. L. Gore & Associates, Inc.",Y,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No
0010000000000X1AAI,0010000000000X1,Slalom,Y,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No
0010000000000bnAAA,0010000000000bn,Ciena Corporation,Y,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
0010000000000ciAAA,0010000000000ci,Vitria Technology   Inc.,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
0010000000000h6AAA,0010000000000h6,Emmis Communications *MAIN HQ,Y,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
0010000000000h9AAA,0010000000000h9,Federal Express Corporation,Y,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes
0010000000000hwAAA,0010000000000hw,"SS&C Technologies, Inc.",N,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0010000000000iUAAQ,0010000000000iU,Lyden Oil Co,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0010000000000itAAA,0010000000000it,ACCO Brands USA LLC,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
0010000000004GvAAI,0010000000004Gv,"OpenTable, Inc.",Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes
001000000000O8mAAE,001000000000O8m,McAfee LLC,N,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
001000000000PhQAAU,001000000000PhQ,IDEC Corporation,Y,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No
001000000000Q3bAAE,001000000000Q3b,Elkay Manufacturing Company,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
001000000000RJ7AAM,001000000000RJ7,International Paper Company *MASTER*,Y,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes
001000000000UmpAAE,001000000000Ump,Trader Interactive,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
001000000000VBgAAM,001000000000VBg,"ON24, Inc.",Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
001000000000VHeAAM,001000000000VHe,HockeyStack,Y,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No
001000000000wCbAAI,001000000000wCb,"Insperity Services, L.P.",Y,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No
001000000001LQ0AAM,001000000001LQ0,"OutSource Management, Inc.",Y,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No
001000000001ZhbAAE,001000000001Zhb,"Myriad Genetics, Inc.",Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
001000000001cULAAY,001000000001cUL,Unisys Corporation,Y,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No
001000000001hxIAAQ,001000000001hxI,NetDocuments*,Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes
001000000001s00AAA,001000000001s00,FranklinCovey Co.,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
001000000001zcfAAA,001000000001zcf,"Cadence Design Systems, Inc.",Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
0010000000025oiAAA,0010000000025oi,"Q International Courier, LLC",Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
0010000000027D7AAI,0010000000027D7,Pomeroy Technologies LLC,Y,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No
001000000002HbIAAU,001000000002HbI,UMB Financial Corporation,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
001000000002RSOAA2,001000000002RSO,"American Honda Motor Co., Inc.",Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
001000000002WRnAAM,001000000002WRn,Massachusetts Medical Society,Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No
001000000002WRvAAM,001000000002WRv,"Amadeus Hospitality, Inc.",Y,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes
001000000002bbnAAA,001000000002bbn,University of Louisville  - KY-MEP,Y,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
001000000002mmBAAQ,001000000002mmB,Datamark,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
001000000002x8fAAA,001000000002x8f,Varian Medical Systems Inc.,Y,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
001000000003ArVAAU,001000000003ArV,Wind River Systems,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
001000000003CkwAAE,001000000003Ckw,THE GEM GROUP INC,Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
001000000004aOoAAI,001000000004aOo,NVIDIA Corporation,Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes
0010000000054fgAAA,0010000000054fg,"Sandy Alexander, Inc.",Y,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No
001000000005gq4AAA,001000000005gq4,Upland Software,Y,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
001000000006WE1AAM,001000000006WE1,Fastenal Company,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
001000000006rVyAAI,001000000006rVy,ScholarOne,Y,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes
001000000007X4yAAE,001000000007X4y,Comcast Technology Solutions,Y,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
001000000007ZJGAA2,001000000007ZJG,Buchanan Technologies,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
001000000007ufkAAA,001000000007ufk,Olympus Corporation of the Americas (Medical),Y,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
00100000000849jAAA,00100000000849j,"Advanced Micro Devices, Inc.",Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
0010000000084FRAAY,0010000000084FR,ShipServ,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
001000000008KjOAAU,001000000008KjO,Master Chemical Corporation,Y,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
001000000008KjWAAU,001000000008KjW,Diabsolut,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
001000000008QeAAAU,001000000008QeA,"Allegro Microsystems, LLC",Y,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
001000000008ZtyAAE,001000000008Zty,"Genentech, Inc",Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000BIm3AAG,00100000000BIm3,"Interface, Inc.*",Y,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes
00100000000Bg0DAAS,00100000000Bg0D,LanguageLine Solutions* (Sales - ORG),Y,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes
00100000000CK5KAAW,00100000000CK5K,Dynatrace,Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes
00100000000Cc6QAAS,00100000000Cc6Q,athenahealth Inc. *,Y,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes
00100000000CgEsAAK,00100000000CgEs,Uptime Institute,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
00100000000D6sIAAS,00100000000D6sI,Humana Inc.,N,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
00100000000DQTVAA4,00100000000DQTV,SCC Soft Computer,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
00100000000EJGAAA4,00100000000EJGA,Omnicell/Ateb,Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes
00100000000EKmnAAG,00100000000EKmn,Imparta Ltd.,Y,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
00100000000EKruAAG,00100000000EKru,"Johnson & Johnson Services, Inc.",Y,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No
00100000000EL4bAAG,00100000000EL4b,Prologis,Y,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
00100000000EYCtAAO,00100000000EYCt,CCC Intelligent Solutions Inc.,Y,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
00100000000EeOBAA0,00100000000EeOB,QuickCrete Products Corp (QCP),Y,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
00100000000FFkwAAG,00100000000FFkw,Pitney Bowes,Y,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes
00100000000Fj9mAAC,00100000000Fj9m,8x8   Inc. - parent,Y,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
00100000000G4CxAAK,00100000000G4Cx,"Helloworld, Inc.",Y,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
00100000000GT37AAG,00100000000GT37,"Simmons Prepared Foods, Inc.",Y,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No
00100000000H9fnAAC,00100000000H9fn,"Johnson and Johnson Services, Inc",Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000HCCTAA4,00100000000HCCT,"North Atlantic Industries, Inc.",Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000IQBcAAO,00100000000IQBc,"Alpine Power Systems, Inc.",Y,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No
00100000000JIOiAAO,00100000000JIOi,Konica Minolta Business Solutions U.S.A. Inc.,Y,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No
00100000000JPEFAA4,00100000000JPEF,ORBCOMM Inc.,Y,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
00100000000K2ZmAAK,00100000000K2Zm,STERIS Corporation*,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
00100000000L3p7AAC,00100000000L3p7,"Super Color Digital, LLC",Y,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
00100000000MTATAA4,00100000000MTAT,Aquent LLC,Y,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
00100000000MY1KAAW,00100000000MY1K,Kaufman Rossin & Co. PA,Y,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes
00100000000NIFAAA4,00100000000NIFA,Rakuten US,Y,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
00100000000NyQmAAK,00100000000NyQm,Cigna Healthcare (Big Sales Org) 00D30000000Jvaq,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000OcbxAAC,00100000000Ocbx,The L S Starrett Company,Y,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
00100000000Ocd7AAC,00100000000Ocd7,"Aspen Technology, Inc.",Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
00100000000Rn64AAC,00100000000Rn64,Almo Corporation (ONLY AE CONTACT),Y,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No
00100000000SoILAA0,00100000000SoIL,American Textile Company Incorporated,Y,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No
00100000000WYwJAAW,00100000000WYwJ,Kinaxis Inc,Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes
00100000000ZNMWAA4,00100000000ZNMW,Skillsoft (US) LLC,Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes
00100000000aHKkAAM,00100000000aHKk,"Agilent Technologies, Inc. (MAIN)*",Y,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No
00100000000fvEpAAI,00100000000fvEp,"Airgas, Inc.",Y,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
00100000000iMa2AAE,00100000000iMa2,Vizrt Group AS,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
00100000000iSR5AAM,00100000000iSR5,Caterpillar Inc.,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000iYOiAAM,00100000000iYOi,UKG Inc.,N,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000idWKAAY,00100000000idWK,Marriott International Administrative Services Inc.,Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes
00100000000iqLNAAY,00100000000iqLN,Wellington Management Company LLP,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
00100000000iqN3AAI,00100000000iqN3,"Stonehaven, LLC",N,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000iqNAAAY,00100000000iqNA,"LendingTree, LLC",Y,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No
00100000000iqNYAAY,00100000000iqNY,LINDA. Mood for Magazines,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000j1BcAAI,00100000000j1Bc,"Provation Software Group, Inc.",Y,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes
00100000000j54KAAQ,00100000000j54K,Trimble Transportation Enterprise,Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes
00100000000jRObAAM,00100000000jROb,MediaNews Group,Y,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
00100000000jvqkAAA,00100000000jvqk,General Motors Financial Company Inc.,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000jyEqAAI,00100000000jyEq,Quest Software Inc.,Y,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes
00100000000kR1KAAU,00100000000kR1K,Innovative Systems Inc.,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000kdT1AAI,00100000000kdT1,"Hallmark Cards, Incorporated.",Y,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes
00100000000keurAAA,00100000000keur,Teva Pharmaceuticals USA (MC Instance),Y,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No
00100000000khFYAAY,00100000000khFY,Wex Inc. - Noventis Org,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
00100000000kt36AAA,00100000000kt36,TIAA,Y,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No
00100000000ktisAAA,00100000000ktis,"Dayforce US, Inc.",Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes
00100000000l6ESAAY,00100000000l6ES,"(Primary) Chevron Technical Center, a division of Chevron U.S.A. Inc.,",Y,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No
00100000000leZjAAI,00100000000leZj,"F5, Inc. (Old Org)",Y,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
00100000000lmWkAAI,00100000000lmWk,Microchip Technology Inc,Y,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No
00100000000mQ8KAAU,00100000000mQ8K,Safehold Inc,Y,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
00100000000mbRpAAI,00100000000mbRp,"Yunker Industries, Inc.",N,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000mhEMAAY,00100000000mhEM,"Audax Management Company, LLC",Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
00100000000nDzkAAE,00100000000nDzk,Entrust,Y,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes
00100000000nE45AAE,00100000000nE45,Ascendion Inc.,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No
00100000000nE80AAE,00100000000nE80,Rand Worldwide Inc.,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
00100000000nE9AAAU,00100000000nE9A,Microsoft Corporation - Nuance,N,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000nEAdAAM,00100000000nEAd,Computer Modelling Group Ltd,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
00100000000nEClAAM,00100000000nECl,Ellucian Company (PARENT),Y,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes
00100000000nEYfAAM,00100000000nEYf,"Tripwire, Inc.",N,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000nEZaAAM,00100000000nEZa,"Applied Systems, Inc.",Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
00100000000nEZjAAM,00100000000nEZj,"ANSYS, Inc.",Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
00100000000nEasAAE,00100000000nEas,Datalogics,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No
00100000000nEbgAAE,00100000000nEbg,"Ribbon Communications Operating Company, Inc.",Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
00100000000nEblAAE,00100000000nEbl,Unum Group,Y,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes
00100000000nEfYAAU,00100000000nEfY,Mediaocean (MAIN ORG.),Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes
00100000000nEgMAAU,00100000000nEgM,Randstad North America*,N,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000nEj9AAE,00100000000nEj9,Elekta *,Y,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
00100000000nElkAAE,00100000000nElk,Carolina Biological Supply Co.,Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
00100000000nF4UAAU,00100000000nF4U,Global Industrial Company,Y,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
00100000000nPmpAAE,00100000000nPmp,Tradeweb Markets LLC,Y,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No
00100000000nPqsAAE,00100000000nPqs,Netflix Inc.,Y,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
00100000000nPrSAAU,00100000000nPrS,eMarketer   Inc.,Y,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
00100000000nozvAAA,00100000000nozv,"Bensussen Deutsch & Associates, Inc.",Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
00100000000oL01AAE,00100000000oL01,Mitsubishi Electric Trane HVAC US LLC,Y,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes
00100000000oMzqAAE,00100000000oMzq,PPG Industries Inc.,Y,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No
00100000000oyjgAAA,00100000000oyjg,"Mirantis, Inc.*",Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
00100000000pRNPAA2,00100000000pRNP,Baxter - Hillrom,N,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000pWgbAAE,00100000000pWgb,The Manufacturers Life Insurance Company *,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
00100000000q5tJAAQ,00100000000q5tJ,"Amphenol Charles Industries, Ltd.",Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000qNKMAA2,00100000000qNKM,"PPD Development, L.P.",Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000r37rAAA,00100000000r37r,"Old Dominion Freight Line, Inc.",Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000rkrhAAA,00100000000rkrh,Voiant Clinical,Y,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No
00100000000rn5dAAA,00100000000rn5d,Hawthorne Direct LLC,Y,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
00100000000sJgGAAU,00100000000sJgG,Abbott Laboratories,N,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes
00100000000sL5CAAU,00100000000sL5C,Piper Sandler & Co,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
00100000000sunNAAQ,00100000000sunN,"Smart Modular Technologies, Inc.",Y,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
00100000000svJLAAY,00100000000svJL,"Edmunds.com, Inc.",Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No
00100000000tKHPAA2,00100000000tKHP,Newell Brands Inc.,Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes
00100000000tLCEAA2,00100000000tLCE,"Surgical Information Systems, LLC",Y,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes
00100000000tmVyAAI,00100000000tmVy,"Globalstar, Inc.",Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000uKGxAAM,00100000000uKGx,"Koch Engineered Solutions, LLC",Y,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No
00100000000uKL2AAM,00100000000uKL2,"Wheels, LLC",Y,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No
00100000000uSuhAAE,00100000000uSuh,"Valcom, Inc.",Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
00100000000uVLVAA2,00100000000uVLV,Ross Video Limited,Y,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No
00100000000vGrvAAE,00100000000vGrv,Walker,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000vtvgAAA,00100000000vtvg,AIR MILES Loyalty Inc.,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
00100000000w101AAA,00100000000w101,"OneSpan North America, Inc.",Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
00100000000w6pHAAQ,00100000000w6pH,Lutron Electronics Co.   Inc.,Y,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes
00100000000wPtfAAE,00100000000wPtf,PDI Technologies,Y,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No
00100000000weUDAAY,00100000000weUD,Philadelphia Insurance Companies,Y,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No
00100000000whhhAAA,00100000000whhh,"IC System, Inc.",Y,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes
